id,provider,provider_id
1000431,1,NC04891
1000432,1,KS02757
1000433,1,KS04000
1000434,1,KS02756
1000435,1,KS00902
1000436,1,CO02097
1000437,1,WI00686
1000438,1,KS01502
1000439,1,KS02400
1000440,1,KS05411
1000441,1,KS07914
1000442,1,MS00106
1000443,1,CO00715
1000444,1,MS02775
1000445,1,AR01003
1000446,1,OH00671
1000447,1,TX06795
1000448,1,KS00046
1000449,1,AL02155
1000450,1,AL02153
1000451,1,AL02154
1000452,1,KS00897
1000453,1,AL02502
1000454,1,OH00428
1000455,1,CA10225
1000456,1,NC02037
1000457,1,CO01744
1000458,1,GA06488
1000459,1,KS02686
1000460,1,TN02116
1000461,1,MS01210
1000462,1,MN00968
1000463,1,CO02341
1000464,1,IN83473
1000465,1,IN04022
1000466,1,KS07632
1000467,1,MT03775
1000468,1,KS04687
1000469,1,MI00813
1000470,1,AR00588
1000471,1,AL00993
1000472,1,TX03944
1000473,1,MO10584
1000474,1,CA10312
1000475,1,AL01604
1000476,1,KS00034
1000477,1,MS02735
1000478,1,GA05231
1000479,1,NC05992
1000480,1,NC05988
1000481,1,MN00683
1000482,1,SD01024
1000483,1,KY00521
1000484,1,KS00916
1000485,1,KS07301
1000486,1,NC01656
1000487,1,CO02816
1000488,1,CO01147
1000489,1,MS01332
1000490,1,NC06080
1000491,1,IA01794
1000492,1,CA00077
1000493,1,GA01292
1000494,1,IN00586
1000495,1,SD01566
1000496,1,MT02742
1000497,1,IL50015
1000498,1,KS02807
1000499,1,IL00478
1000500,1,KS04260
1000501,1,SC02189
1000502,1,SC00688
1000503,1,TN03108
1000504,1,KS03103
1000505,1,KS02861
1000506,1,AL02197
1000507,1,GA03514
1000508,1,IL50223
1000509,1,OH00862
1000510,1,KS04092
1000511,1,KS09086
1000512,1,KY00369
1000513,1,IA03864
1000514,1,TX00975
1000515,1,MA00319
1000516,1,MN00492
1000517,1,GA01654
1000518,1,IA02589
1000519,1,AL02006
1000520,1,MN00312
1000521,1,WI00960
1000522,1,MS01587
1000523,1,UT00327
1000524,1,NC02120
1000525,1,NY00904
1000526,1,MS02338
1000527,1,IL01219
1000528,1,UT50433
1000529,1,MS01792
1000530,1,TX05170
1000531,1,GA02255
1000532,1,AZ00192
1000533,1,VA08521
1000534,1,NY00850
1000535,1,AZ83452
1000536,1,AR01283
1000537,1,WY02903
1000538,1,NC02881
1000539,1,AR00111
1000540,1,NC01702
1000541,1,CA01405
1000542,1,MT03199
1000543,1,MT03932
1000544,1,MO10819
1000545,1,CA00096
1000546,1,WY02498
1000547,1,MS01535
1000548,1,MT03155
1000549,1,MS01006
1000550,1,KS05324
1000551,1,MS01316
1000552,1,CO02004
1000553,1,NH01027
1000554,1,WI00574
1000555,1,AZ00198
1000556,1,TX01335
1000557,1,TN08516
1000558,1,IA02435
